Time,10.0,10.0.2,10.0.3,10.0.1,5.0.1,5.0,2.5.1,2.5,1.25.3,1.25.2,1.25.1,1.25,0.625.1,0.625,0.625.2,0.3125.1,0.3125.2,0.3125,0.15625,0.15625.2,0.15625.1,0.078125.1,0.078125,0.039063.1,0.039063.2,0.039063,0.019531.1,0.019531.2,0.019531,0.009766,0.009766.2,0.009766.1,0.0,0.0.1,0.0.2
39,39.64091,24.18118,19.39167,22.70588,39.36588,28.09432,30.36463,30.98471,41.91348,33.10909,32.88523,30.20568,45.14886,43.34091,39.99318,40.48409,42.07558,29.20241,39.63953,34.07143,29.48256,42.22955,36.50568,42.07765,34.85926,55.58072,38.13409,31.54286,28.24598,33.60482,20.97683,13.63793,42.16744,33.83953,30.11932
40,38.61591,24.47312,20.40427,21.08409,38.8062,31.96705,29.26353,28.18471,41.41262,34.07081,31.20125,27.58824,44.4625,42.73864,40.07614,40.52286,41.48089,26.2619,37.42771,33.87381,28.13332,41.63368,36.33295,40.43059,34.77338,31.93256,37.6246,30.33847,27.11236,33.65114,19.57194,12.17652,41.0814,33.21194,29.47764
41,42.66265,24.76506,21.41687,45.07093,38.24651,35.83977,40.34651,45.26818,40.91176,35.03253,34.42386,54.54432,43.77614,47.99655,40.15909,40.56163,40.88621,37.0931,41.94828,33.67619,26.78409,41.0378,36.16023,38.72759,34.6875,24.075,37.11512,29.13409,14.15176,19.70659,18.16705,10.71512,39.99535,32.58434,28.83596
42,37.27059,30.30238,21.51591,19.69277,38.91905,34.21279,28.82976,29.16941,40.2977,26.2092,30.7093,26.88313,31.15682,42.63103,30.30238,21.51591,34.21279,27.07619,39.17045,38.91905,26.97619,40.68391,35.96747,39.88427,40.2977,33.98506,43.27386,37.18182,25.44205,32.64318,39.5759,9.640909,39.85227,31.15682,41.08523
46,25.80748,31.5875,19.27349,43.15189,35.74432,32.49765,43.40378,26.10875,35.875,21.65341,53.99224,25.89086,43.0988,47.74538,38.25294,38.93765,41.07647,13.79318,39.20408,33.07816,25.63765,40.61477,35.63103,38.76517,31.18046,38.09091,35.32941,27.95176,24.05542,31.53333,17.30482,7.581609,40.45341,31.68409,25.38
49,40.08118,32.70345,19.61765,14.99647,37.25341,25.46628,25.70909,25.35513,34.67412,48.82941,27.54186,24.35679,40.62791,41.46395,38.84353,35.81932,19.97647,24.06782,39.34138,32.98864,25.26235,50.82955,44.17159,38.45,32.35,31.74458,35.21744,26.99773,23.8939,32.09651,26.88977,27.82727,39.28605,31.35647,23.77931
52,42.55606,32.95568,8.634091,14.99753,37.08554,16.16512,26.80233,26.96023,36.3375,22.56706,27.7642,25.97045,42.26932,40.19773,38.55682,41.20114,40.29885,24.73977,38.6131,33.2314,26.2378,41.25402,36.28966,38.73295,31.85341,32.21176,34.48068,28.43372,23.44598,30.51047,18.01325,6.968182,23.57317,31.09659,25.43412
53,34.1505,33.02725,24.61877,75.02118,29.47882,16.3855,51.85909,27.42874,45.55581,74.7,40.87699,31.93405,43.17752,76.95,39.16136,41.44326,40.87094,38.63151,40.18098,72.04643,26.30831,41.18515,35.9238,44.7391,32.86023,32.51335,34.91875,74.39634,23.58322,32.05182,18.35602,7.415125,23.89364,31.58535,25.56081
54,25.74493,33.09882,40.60345,15.89432,21.87209,16.60588,27.96429,27.55227,54.77412,19.80227,53.98977,37.89765,44.08571,40.77241,39.76591,41.68539,41.44302,52.52326,41.74886,33.31379,26.37882,41.11628,35.55795,50.74524,33.86706,32.81494,35.35682,28.57931,23.72045,33.59318,18.6988,7.862069,24.21412,32.07412,25.6875
55,17.33937,33.33805,31.23968,16.74713,19.21819,16.26544,28.11737,26.63636,45.77154,19.04194,40.63617,31.51701,44.63251,40.7168,40.0,41.39034,41.37034,39.18979,41.3796,33.32608,26.31953,40.98402,35.74375,45.10893,33.4841,33.63363,35.54347,28.80142,23.77919,33.80795,19.9253,7.995239,30.88706,31.83195,26.08168
56,8.933801,33.57727,21.8759,17.20254,16.56429,15.925,28.27045,27.06934,36.76897,18.28161,27.28256,25.13636,45.17931,40.66118,40.23409,41.09529,41.29765,25.85632,41.01034,33.33837,26.26023,40.85176,35.92955,39.47262,33.10115,34.45233,35.73012,29.02353,23.83793,34.02273,21.15181,8.128409,37.56,31.58977,26.47586
57,0.528235,23.09195,19.52439,17.65795,36.66818,17.95952,27.85517,27.50233,36.22209,26.50976,27.85488,25.91512,44.47561,40.55904,40.89545,40.90116,41.60116,26.02716,40.74318,33.16386,25.27727,40.14831,36.02644,37.18721,32.06353,18.22868,34.41379,29.87241,25.23068,33.85176,20.07215,7.541379,38.68353,31.1561,25.57386
59,36.18182,30.31818,19.92989,15.61364,37.05176,18.92584,27.56512,26.82262,37.52235,18.2573,27.69762,25.21264,44.4,40.64886,40.76588,41.85119,40.87176,25.71609,38.9907,33.11798,25.74118,40.07176,36.13333,38.12738,33.44651,2.005039,35.80471,126.1046,23.80225,33.9186,18.53837,7.914773,40.26477,30.75176,26.17701
61,36.57273,29.83095,19.73103,14.48158,36.0,22.6875,27.41023,25.72614,38.02386,26.05882,26.34699,24.79294,45.01647,39.93483,40.58023,41.13908,41.47619,22.71529,39.35287,31.65455,24.94588,40.15056,34.95543,39.3012,30.66932,-14.2186,34.61079,28.48295,23.01687,15.31591,17.78161,6.135227,40.27176,30.35341,25.17176
62,33.75357,30.11494,14.12824,13.27412,33.26322,22.19205,25.62045,24.77791,35.28977,28.20805,25.63218,21.39545,43.27159,39.26118,39.9506,40.86341,39.5814,19.74471,38.89059,31.0908,22.4439,38.69545,33.4241,28.86163,31.84884,26.28653,33.41687,26.46706,20.93294,27.57241,14.53295,4.587059,38.55783,28.26897,23.53529
64,35.71395,30.07195,18.81059,14.18795,34.60235,31.39146,27.01477,25.42976,36.13882,26.42273,25.73855,22.76429,43.86818,40.11264,39.58171,41.11529,40.34943,22.21494,39.71364,31.76941,22.65795,39.41932,34.0759,39.18068,32.06512,32.4,34.37765,28.06506,49.72588,31.63258,17.86786,6.434177,28.55402,22.60824,22.03735
66,19.37386,26.61954,16.66957,8.625,33.57416,32.35349,23.35412,19.78721,36.77011,27.38046,23.61705,20.09882,43.73636,37.63214,32.11494,40.91667,39.48182,17.51264,37.78837,29.09767,19.42874,38.31977,32.2092,39.93523,32.59195,26.1869,31.5686,22.48861,19.37386,17.92299,11.56818,2.823256,24.1954,27.87176,19.16707
67,27.71591,45.07073,33.31724,9.152941,32.84535,-3.93457,26.42386,28.46782,33.58372,24.64941,22.79091,55.20568,41.45765,35.66875,35.83034,39.67952,37.16,16.17614,27.36235,27.77273,16.81687,37.64432,31.62529,39.66477,28.13976,30.60952,30.61512,16.45843,41.55059,22.89529,12.90575,45.13882,18.54419,26.74023,35.95595
71,31.39778,20.16235,8.134524,9.185057,32.75795,36.22759,21.78621,20.83412,34.46628,26.48161,21.67865,18.7,39.32625,36.38391,34.76818,37.36579,36.48706,16.26395,37.90115,27.825,17.82143,36.9407,30.78636,40.98295,30.50805,24.27619,30.37045,23.1046,20.02045,29.14659,12.98235,2.425581,34.21818,26.50455,18.84643
74,63.55959,14.31705,15.67614,9.983908,32.33448,29.18977,23.54824,23.3,33.71494,28.52619,22.73864,20.26364,42.76818,36.94545,36.33864,39.67558,37.89425,19.08977,38.03182,28.55647,18.94545,36.89765,31.42989,43.14091,35.90227,24.57614,20.76,28.66364,21.16092,30.88837,24.80118,3.511765,38.02529,27.25747,32.16279
76,48.33509,21.37045,3.630233,10.04719,31.72791,28.93218,23.81628,22.38875,31.64318,20.84941,22.61412,18.73953,44.36023,36.5561,36.74828,38.96818,37.87386,18.42841,37.50361,29.05422,19.67273,37.58977,31.08295,50.03864,31.57386,23.43409,32.33765,24.92614,22.59888,29.09765,15.53864,3.414773,35.69425,26.64483,20.44337
77,33.11059,24.78636,10.27349,9.874713,30.27011,27.62386,23.73882,23.24318,32.26705,21.77907,22.30455,20.42841,48.86322,37.04146,35.14659,39.01136,38.10575,168.6442,38.45682,28.6573,18.5878,37.63095,30.64318,43.26023,30.3625,23.51111,31.94773,24.22907,22.61279,28.38523,13.94432,3.035227,24.46782,27.07701,20.66092
79,33.70617,25.6439,16.21724,9.035227,30.56136,28.80455,24.60115,23.63864,31.73171,13.68621,22.15114,20.6,49.20345,36.2954,35.20345,38.57159,37.99176,17.725,37.11591,28.49882,18.2225,37.02791,30.74471,41.2378,27.16235,21.47841,32.05618,24.26824,24.33882,29.97,15.11529,3.267045,37.2908,26.56705,20.91724
81,32.70682,27.63721,17.18764,9.633721,30.98966,31.64318,24.00357,23.24824,34.50588,16.2375,21.66629,19.63537,48.45281,36.19643,35.79773,39.36,38.23409,17.24819,37.37126,28.86136,18.52353,36.94651,29.47059,39.13182,30.5092,23.62805,31.075,24.44545,24.43023,30.05682,14.9931,3.4,20.50227,26.28434,20.25909
82,33.19518,23.04634,13.61705,9.615909,29.75341,32.40568,23.56477,23.11839,33.97229,26.05882,21.11059,18.79205,48.0931,35.65181,36.7,39.08851,37.63012,16.84659,36.71798,28.07273,19.41687,37.06071,29.45977,40.35341,27.71667,23.57108,30.98977,23.96235,23.41705,25.47079,15.30595,3.367816,20.70682,26.23253,21.03765
84,32.12644,22.99195,17.07024,8.570115,28.08182,32.06163,22.24773,23.65862,33.58636,28.9119,20.6814,19.98118,46.43735,34.95341,35.92159,38.21705,36.8407,16.33678,35.78118,26.51059,17.26364,33.47386,29.37412,39.18659,28.28941,23.71149,30.31977,24.04091,23.30805,27.57386,13.63571,3.268966,13.58824,25.49882,19.59529
86,30.96932,23.65977,3.380233,6.353409,26.11463,30.35114,20.38161,22.21047,32.43523,16.0622,19.30455,16.67931,44.66932,34.45795,34.86591,37.94706,36.53563,14.68977,35.28571,24.06705,14.76705,32.32381,27.52353,37.61205,25.45455,18.4413,29.01573,20.50114,22.13023,25.98471,10.90698,2.87093,13.27262,25.0625,17.33793
87,23.86629,22.62159,12.29294,6.55,25.94205,31.28764,19.79318,21.76471,31.96667,15.1907,18.85795,16.54471,44.06322,34.41059,35.66353,37.18523,37.09886,14.12045,33.90114,22.46364,14.33908,32.15172,23.27614,37.26591,25.08452,20.6369,28.42941,21.54545,22.67791,26.61047,11.87093,2.134118,14.2061,25.00118,17.34779
88,23.98883,24.41252,14.75443,7.444412,26.8642,31.50132,21.22015,23.80451,32.18275,13.85614,20.42557,18.9769,44.0569,35.52943,36.27353,37.76818,38.0625,16.59643,35.22092,24.70682,17.68966,34.23666,28.24439,37.97102,25.42294,21.27584,28.87436,22.22273,24.57248,27.06376,13.05649,3.1699,18.5754,26.154,17.35765
89,24.11136,26.20345,17.21591,8.338824,27.78636,31.715,22.64713,25.84432,32.39884,12.52159,21.99318,21.40909,44.05057,36.64828,36.88353,38.35114,39.02614,19.07241,36.5407,26.95,21.04024,36.32159,33.21264,38.67614,25.76136,21.91477,29.31932,22.9,26.46705,27.51705,14.24205,4.205682,22.94471,27.30682,19.84588
91,32.58375,24.30471,13.57907,5.418182,26.58795,30.20909,20.16782,23.51848,30.29186,9.756471,18.72093,19.01705,40.86905,34.27647,35.27386,36.43068,37.825,14.41724,35.20119,24.26322,21.08537,34.93218,35.31977,37.82898,25.13721,19.32386,28.37273,20.91585,25.32588,9.362069,10.97955,2.826829,29.725,23.63647,15.67882
92,32.86705,22.08182,13.65455,5.473563,26.45,29.86,18.0069,22.82045,30.425,10.63412,17.60341,14.71325,39.4407,32.42143,34.37176,36.22558,35.95732,9.94023,33.91765,22.20225,19.6023,33.26023,35.68409,36.98182,23.7839,17.02759,27.36369,19.71942,22.92874,8.494118,10.61892,2.814591,32.82386,23.00114,15.81125
93,33.6625,21.37445,12.83182,5.904963,26.45971,29.01415,17.67992,22.10227,30.675,12.87166,17.1517,,38.66221,32.43954,34.48181,35.66279,35.71318,9.81092,33.41802,22.17995,19.93997,32.98125,35.60239,36.35227,22.43059,18.73356,26.35465,18.52299,23.41324,15.42322,10.2583,2.802353,30.56591,22.78011,15.94368
94,34.45795,20.66707,12.00909,6.336364,26.46941,28.16829,17.35294,21.38409,30.925,15.1092,16.7,,37.88372,32.45765,34.59186,35.1,35.46905,9.681609,32.91839,22.15765,20.27765,32.70227,35.52069,35.72273,24.73295,20.43953,25.56705,18.03793,23.89775,22.35233,9.897674,1.963529,28.30795,22.55909,14.74146
96,,20.70941,2.351136,5.908333,23.63448,28.91034,16.06588,19.36835,30.34432,13.67529,15.08554,,37.54941,31.39294,34.79091,34.78706,35.46023,8.429762,32.92614,21.82386,19.32235,32.09419,35.90602,36.89882,22.63294,20.85294,24.0573,15.51609,23.65632,23.25294,10.44819,2.477528,26.14535,21.72045,13.69535
