Time,10,10.1,10.2,10.3,5,5.1,5.2,2.5.1,2.5,1.25.3,1.25.2,1.25.1,1.25,0.625,0.625.2,0.625.1,0.3125.1,0.3125.2,0.3125,0.15625.2,0.15625.3,0.15625.1,0.15625,0.078125.2,0.078125.1,0.078125,0.0390625.1,0.0390625.2,0.0390625,0.01953125.2,0.01953125.1,0.01953125,0.009765625.2,0.009765625.3,0.009765625.1,0.009765625,0,0.1,0.2,0.3
0,0.0018598115925178,0.008640439152903,0.0016878713770555,0.0068254631206707,0.0009449478544207,0.0015365787864891,0.000928424358576,0.0049169326676957,0.0020127604972467,0.0116611064930804,0.0111430434910937,0.0021085450875259,0.0016403394893953,0.0037212154525698,0.0076355095657797,0.0146129620711828,0.0117452490923818,0.0049033268499592,0.001203145312078,0.0027035318960122,0.0044186214403545,0.0017181566282459,0.0006161882212573,0.0048419108958752,0.0055418536815262,0.0066964031213916,0.002448366592546,0.0011112987646415,0.0100453402685579,0.0129145763672743,0.0119915894488704,,0.0017209515375279,0.001524631562234,0.0045721110043867,0.000896584763108,0.0024629574237552,0.0024766668993539,0.0031203176302775,0.0020064057081124
2,0.0009311730952585,0.0071258053970458,0.0024040893431027,0.0073977564383243,0.0008509509644272,0.0009991980368406,0.0013996600954465,0.0061864385539121,0.0016022280989257,0.0100399991416004,0.0075559914531413,0.0019862186546022,0.0010252580463593,0.0038623152372115,0.0084375494097972,0.0142938144849483,0.0163790355487661,0.0048687786561149,0.0013148013278231,0.0030809023628074,0.0044481780224377,0.0017163222030731,0.0016503724757357,0.0056775159775266,0.0074468751410969,0.0057105263913387,0.0028905897119561,0.0009809579404911,0.0010292704165385,0.0147988685928319,0.0119464708289145,,0.0015923723794394,0.0013625314093597,0.0035158758106692,0.0008838329822557,0.0023349349817202,0.002745163756615,0.0039999503367542,0.001636747132721
4,0.0009123044353263,0.007211452570617,0.0018504326992206,0.0067468817055119,0.000770377105911,0.0014251498212222,0.0020080300254122,0.0081280595104626,0.0015064315052818,0.0106039336058551,0.0054182587403867,0.0026152774809412,0.0015931876076742,0.0040927722039866,0.0079297989112285,0.0129077515834648,0.0196515575650771,0.0025774074687361,0.0009819102519161,0.0020785793438326,0.0053182906495566,0.0013887715626155,0.0016093304335792,0.0058311791084481,0.0062168576259594,0.0050480169060279,0.002749145661275,0.001051675999994,0.0086534522459165,0.0136556850561237,0.010162189933779,,0.0017316130315001,0.0013768704941727,0.0021156522795349,0.0011263979011806,0.0022807464327127,0.002840122201182,0.0040085963677291,0.001561927869937
5,0.0006212656653678,0.006283649117991,0.0029316941125153,0.0055982654388116,0.0007861426996976,0.0021436462976026,0.0020933646480088,0.0026703229486075,0.0015725420909093,0.0121892106858014,0.0020367939050784,0.0026600681168214,0.0010776548585344,0.0031587239974434,0.0074894057896499,0.0018559453028128,0.0106081288043545,0.0025611758722781,0.0005462856374691,0.0010286242760282,0.0058060104720742,0.0015186406300263,0.0022690977345201,0.006473661604814,0.0065913645160399,0.0034969152319209,0.0040374968671667,0.0070488418215736,0.0092942395924417,0.0142570602602422,0.0108631600585725,,0.001285115586247,0.0108631600585725,0.0021275207171725,0.0009627234062309,0.0050475835246831,0.0035075736384474,0.0051786860595672,0.0015908896793897
6,0.0008139449177394,0.0007069704993574,0.0024740859639452,0.0046744642859194,0.0007533815698212,0.0035104675922232,0.0010972690701388,0.0050591180370678,0.0016940544603126,0.0122764105218662,0.0045704638538952,0.0013312410740368,0.0008831488106431,0.0009055839443921,0.0007470014755552,0.0025769108825032,0.0163374161280765,0.0026139077794658,0.0006399579818139,0.001594417026641,0.0006095420174594,0.001104659044655,0.0014230839097233,0.0067188183382235,0.0040087158042743,0.0004667310122949,0.0005643404880745,0.0045993750421501,0.0004240769621675,0.0195526431701259,0.0132788537510087,0.0018793689426735,0.0033681543713826,0.0012827153009991,0.0008356696612023,0.0012506605849446,0.0008849608436986,0.0032280582814728,0.0096624550159731,0.0010064497883504
7,0.0007153218245512,0.0065573891995321,0.0020164778153751,0.0037506631330272,0.0007206204399448,0.0017735392456036,0.0048822360863158,0.0074479131255282,0.001815566829716,0.0123636103579309,0.0071041338027119,0.002005408636176,0.000814196714728,0.0029866208842469,0.0079111049098724,0.0032978764621937,0.0220667034517985,0.0026666396866535,0.0009804817563605,0.0021602097772537,0.0055395511163302,0.0012265260028107,0.0027149714598888,0.0069639750716331,0.0014260670925086,0.0028644317315782,0.0068323558696369,0.0021499082627265,0.0093453500834274,0.0138135277543286,0.011254417860061,0.0018069377657046,0.0011443471805053,0.0011495342588829,0.0035536528671791,0.0011775442802473,0.0054012242813059,0.0029485429244981,0.0059661587659203,0.003108165768495
8,0.0007272640359722,0.0013421340718781,0.0010827081094857,0.0010854851403906,0.0007024787154235,0.0008331472240237,0.0034060219367915,0.0016267857257952,0.0009362462080165,0.0124168329552701,0.0014383739962493,0.0008697700845625,0.0010995215008648,0.0033620882862319,0.0018628764430244,0.0010812303532006,0.0007482164679826,0.0007813958412353,0.0010259833487208,0.0012878825476659,0.0013154907467703,0.0010771326632693,0.0011080065027414,0.0013965423488791,0.0007207556357414,0.0008505358488153,0.0067895738904687,0.0018301513909849,0.0008695322994306,0.0011992751788545,0.0080212632337772,0.0016819643153541,0.0202790597531671,0.0124216608391445,0.0011795121440795,0.0011187666650777,0.0007071246823974,0.0010801908743041,0.0082183043634708,0.0009470135869635
9,0.0032399794400816,0.0057148739543165,0.0010608556855819,0.0010371842491015,0.0006843369909022,0.0008396830599544,0.0019298077872673,0.0112344097367975,0.00142152337166,0.0124700555526093,0.006820076312365,0.0009147055714682,0.0012247263165966,0.0037375556882169,0.0068288557038315,0.0034807881266972,0.0184456652172876,0.0030735737693351,0.001093478344562,0.0013621745411361,0.0043543813375778,0.001149968408831,0.0011142699457314,0.0053967857563069,0.0078398092405424,0.0010018317549133,0.0067467919113006,0.000755296704587,0.0009622934459617,0.0134021801323751,0.0115116913151675,0.0015569908650035,0.0011158586658932,0.0013332610639854,0.001201823492519,0.0011391493991408,0.0006490837993829,0.0010982074645155,0.0056676150597157,0.0012724873433607
10,0.0007217082132676,0.0013922187659881,0.0010390032616781,0.0009888833578125,0.0006523842910109,0.0008462188958851,0.0015554412847682,0.0016288157459841,0.0011297580350451,0.010361898566478,0.0011888831052608,0.0009596410583738,0.0013499311323284,0.0057247956919252,0.0016179571396149,0.0008296079192726,0.0007165764388514,0.0006654943655015,0.0011609733404033,0.0023375919520852,0.0013731888747174,0.0012228041543926,0.0011205333887213,0.001431747869139,0.0007129057216078,0.0011531276610113,0.0077012627400423,0.0015096582566235,0.0010550545924928,0.0022758271537958,0.0113282401638596,0.001432017414653,0.0192709710167636,0.0110309321190293,0.0012241348409585,0.0011595321332039,0.0005910429163684,0.0011162240547268,0.0097926665368138,0.0008285682328304
11,0.0005616327285092,0.0011225164779383,0.0012714364859203,0.0010050842971833,0.0008057151728833,0.0007515367447514,0.0016903592333754,0.0015925642700486,0.0009737527635105,0.009796700084808,0.0016230974510089,0.0009767560557316,0.0011370841846749,0.0048153648442389,0.0017874873736927,0.001005361068071,0.0007147950393003,0.0008673968503488,0.0010553646473113,0.001633463094371,0.0013339461320756,0.0010462712575158,0.0009635143866907,0.0014593378267051,0.000787571996727,0.0010736570661986,0.0095974643252367,0.0011258522798971,0.0010024521754905,0.0027800178455084,0.0114345980189585,0.0013070439643024,0.0169061117745655,0.0102019853313361,0.0011029016163324,0.0011494010644755,0.0006227930018518,0.001009272082734,0.0084558230026613,0.0008850099000067
12,0.0021598441726796,0.0042748609788516,0.0040155417969923,0.0053009750173391,0.0009590460547556,0.0029995264017071,0.0018252771819827,0.0104052271321041,0.0020216906832126,0.009231501603138,0.0033726597767973,0.003861978734643,0.0008654697209249,0.0039059339965526,0.0062188170083897,0.0075473290566133,0.0187378326596092,0.0021781694088405,0.001308158656191,0.0021607629246962,0.0037464283904853,0.0013046968713569,0.0014153706561628,0.0014869277842712,0.0046322136567028,0.0074483874300845,0.0114936659104311,0.0007420463031707,0.0069880415510428,0.003284208537221,0.0115409558740573,0.0011820705139519,0.0145412525323675,0.0093730385436429,0.0016954682942069,0.001047936489524,0.0068833254864989,0.0025105697387407,0.0071189794685088,0.0009414515671831
13,0.0006169989025011,0.0011847334529042,0.0009564798484632,0.0009270922284217,0.0008421237434268,0.0005634835057055,0.0020983664636782,0.0017786144102211,0.0010213099648848,0.0094103033941422,0.0015000473243563,0.0007902979896063,0.0011779830165761,0.0042777662063854,0.0016768300759592,0.0008013178704531,0.0007884038915445,0.0008131343151661,0.0010703878913857,0.0015427809825678,0.0012598652722421,0.0011376171538421,0.00106493692222,0.0014498285419733,0.0007275720659227,0.001216987040005,0.0007428834204621,0.001395229969097,0.0009061742381333,0.0036269776968041,0.0125537203373718,0.0010570970636013,0.0139872946209761,0.0111904060549682,0.0008918561180374,0.0012761312591835,0.0007652820692853,0.0011535097650808,0.0096050935153239,0.0008621938091618
14,0.0022268403446554,0.0044237764770982,0.0039538619884617,0.0057093036127725,0.000725201432098,0.00380134571034,0.0023714557453737,0.0117339925975126,0.0019320342900549,0.0095891051851465,0.0061395690502876,0.0025685850880459,0.000627571923358,0.0046495984162181,0.0047406391629884,0.0047145977025126,0.0200514920996717,0.0019542188393907,0.0013138058193915,0.002741728587629,0.0030452288263201,0.0006096064686501,0.0008816265859472,0.0037734350918528,0.0039425756098043,0.0013298887821125,0.0013227796972159,0.0009173582825087,0.0004672023009455,0.0128363785479817,0.008762530646489,0.0009321236132508,0.0013044304269445,0.0016442086734959,0.0005168224986891,0.0010330350082353,0.0015088630309589,0.0013916854397697,0.006976084594498,0.0010023609536259
15,0.0031922358540526,0.0065884466284709,0.0038008935877847,0.0040892812961432,0.0009494168495053,0.0021003602537754,0.0024869103508166,0.0066698000276717,0.0015594890675291,0.0116700972130295,0.0073405769547094,0.0043468721864856,0.0006803616503806,0.0030006847055627,0.0058314477814559,0.0015809240929451,0.0207922001039323,0.002283654499364,0.0015572237473972,0.003954518388663,0.0037781664291592,0.0013454248649504,0.0015989583502637,0.0020605002344803,0.0022986235728518,0.0062649802115458,0.0145679720142277,0.0008485908569958,0.0044875101027211,0.0097483245996804,0.0083484913730782,0.0010280849743326,0.0013982229292144,0.0018194915059483,0.0017577906254615,0.0012753713624268,0.0042254160273417,0.0016298611144586,0.0058839248839156,0.0012514347494635
16,0.0016886819851134,0.0010329439766459,0.0031795025748734,0.0043939611605472,0.0004897593831604,0.0014499852037995,0.003961783097122,0.0016056074578308,0.0007141800473946,0.0014944041278981,0.0021679470468069,0.0012813203693835,0.001467401043609,0.0010053615666511,0.005455832541473,0.0033200487367303,0.0012253596027088,0.001838903994567,0.0010100434025674,0.0005919146647642,0.000855852902962,0.0010173058396244,0.0006954021933574,0.0015284547635272,0.0005136865521637,0.0011405949281508,0.0005690147430232,0.002199726585074,0.0015175618034071,0.0006411963420883,0.0017774445207401,0.0011240463354144,0.0006676083439419,0.0018503810452561,0.0018069430788055,0.0012139157750407,0.0011087675619033,0.003007220903921,0.0009420188176487,0.0017507315780394
17,0.0031675870695431,0.005971954059947,0.002558111561962,0.0046986410249511,0.0007428705942042,0.0025966835284844,0.0036155914316416,0.0098788777553591,0.0015012346764989,0.0124289130478823,0.0045856011326198,0.0030460809139235,0.0009613582434162,0.0019857625769583,0.0041091467514943,0.0050591733805156,0.0169461177553073,0.002352130057733,0.0014509773110971,0.0026986108804335,0.0036951249156433,0.0013930803765917,0.0008746586635812,0.0018945827745031,0.0043358729424051,0.0040709111809028,0.0166683692445635,0.0008621935959527,0.0013883588713575,0.0093473524406059,0.0082126039233055,0.0016594205875761,0.0014499960825468,0.0018812705845639,0.0020084888352652,0.0015724008536134,0.0050074179136545,0.0029722104113463,0.0059696653650745,0.0009427484344392
19,0.0047266825621968,0.0064990544453384,0.0006754699218948,0.0015998215564073,0.0005500514228091,0.0105636681730977,0.0009589532938658,0.0045466064544999,0.0015998215564073,0.0135714308616366,0.006052920661714,0.0020072007717893,0.0012381883979761,0.0038562933521351,0.0012316655390161,0.0013329160635081,0.0013472024539593,0.0031791769638015,0.0005238796177973,0.0111914308316237,0.003734759131498,0.0030588143751339,0.0017624466071071,0.0159404867250781,0.0007740182074643,0.0005593329778924,0.0012430057037469,0.0011564889848813,0.0092929392332938,0.0022946719198473,0.0009550078785948,0.0021947948397377,0.0055716430960824,0.0019858963934597,0.0032842732804065,0.0006760273277813,0.0064990544453384,0.0024273292258917,0.0024273292258917,0.0028721915966559
