,20,20,20,10,10,10,5,5,5,5,2.5,2.5,2.5,2.5,1.25,1.25,1.25,1.25,0.625,0.625,0.625,0.625,0.313,0.313,0.313,0.313,0.156,0.156,0.156
baseline,0.9784848365493223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9742532519356063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0345793192169601,2.274947888257696,2.9702007601056164,2.005147299867266,1.1148304365246495,1.238290222870365,1.8447149904337914,1.2226659281385843,1.812074244420643,5.2832070009449525,0.8995549984136746,2.1026560661209928,2.1529863344885687,3.132712704492528,1.6124491897886037,2.6183072250034614,2.3486775319662043,2.6380049147167886,2.4381808713748994,3.2355328584093828,1.7162321567403194,1.937610615752959,1.2940150111550357,1.3980443314180508,3.200457263238662,3.534656869611071,2.4889206551027816,1.2780446777003522,3.37104250423995
5,1.094905386498314,2.280757578258748,2.590151600171547,2.3696410609550083,1.0228139022130323,1.1114693810945329,1.6771598900533167,1.1202049611252298,1.765534101620216,6.10287501154144,1.264904104810399,2.5691871413518683,1.951539204776259,2.67527221619517,1.7475357731785672,2.7953124186746767,2.237201039949402,2.3912333366088614,1.1470733954157686,2.814632776799064,1.3869967219715793,1.80941757251063,1.1354164782271456,1.7438792722795204,2.8687117391354473,4.311844153027797,2.290937122369391,1.3043698453322,3.487604264651816
7,1.0519159100563278,2.6731847011034557,2.7824098664453527,2.167772444363915,0.9473400634953277,1.2040773264397255,1.612220152473912,1.1278227796784464,1.7264189286280112,7.098013135500398,1.43297225241457,2.538164866529832,1.8298982929650482,4.316198007054108,1.5362265262607444,2.643780987106653,2.5133872181325287,2.359336446198227,1.1176294023734101,3.0161241524760047,1.5701648379846445,1.746327775182325,1.2908934644255576,1.825515549579118,2.7850582820340124,3.8953557198547193,2.0929535896360005,1.3306950129640476,3.604166025063682
18,1.0089264336143415,3.0656118239481636,2.974668132719158,1.9659038277728216,0.8718662247776232,1.2966852717849182,1.5472804148945074,1.1354405982316627,1.6873037556358061,8.093151259459358,1.601040400018741,2.507142591707795,1.7082573811538377,5.957123797913048,1.3249172793429216,2.492249555538629,2.7895733963156557,2.327439555787593,1.088185409331052,3.217615528152945,1.7533329539977096,1.6832379778540199,1.4463704506239694,1.9071518268787158,2.701404824932578,3.4788672866816417,2.1582088463424114,1.2406177574463957,3.7207277854755483
20,0.9659369571723552,3.3026237968715075,3.3448641883275565,2.2871888589953233,1.0009688999857782,1.3382366953552203,1.8400375550399461,1.1154406064326658,1.7786152541295215,7.1448494604683175,1.7691085476229123,2.892520402178132,2.001878514315799,3.3070983433017487,1.1755343810714687,3.419869864988301,2.521348845360356,2.0759072634173172,1.4671467140403789,3.081132636792614,2.017316739409326,1.953901767151389,1.4808865973312242,1.597257785215784,2.6747206274268365,3.7918251394544495,2.0900357645221987,1.202311731084823,3.4886617828341593
23,1.044355963265469,6.094771283389887,2.6708186854469784,2.1126028417152054,0.7721266763049933,1.451599100360477,1.4442625163501068,1.3465003401060216,4.420851452536305,5.694464190873656,0.8352543920245964,5.615381649220148,1.950082931538614,3.6834722798644326,1.3592963082333682,2.8395602949181766,2.7275156653479407,2.4562102809204633,0.9162843136364291,3.043914666838406,1.9441272844187205,1.445488441356197,1.1326616328053245,2.3124081361926527,2.2760640429009333,4.373705000865027,1.8999361656355267,2.6955019186799523,5.494532661934092
25,1.0905293144581405,11.181601393300964,2.87592674047661,2.788002945869965,0.9012503826641364,1.4771485391933494,1.9503295135098597,1.0741315335227095,2.0379651700725394,6.196000665140721,1.0203047798386373,2.041078564149317,2.192452807945588,3.317869942390236,1.2734920813955428,5.527135911874248,2.3947610889035356,2.212374060321989,1.0498251267619212,2.7334621961397643,1.7217175329647174,1.5318821304172292,1.5738468679584732,1.911132355158514,2.6377774201607416,4.490022105453679,1.9639946637207624,1.2574651888205344,4.953353189962714
