Time,8,8.1,4,4.1,4.2,4.3,2,2.1,2.2,2.3,1,1.1,1.2,0.5.2,0.5,0.5.1,0.5.3,0.25,0.25.1,0.25.2,0.125.2,0.125,0.125.1,0.125.3,0.0623,0.0623.2,0.0623.1
0,0.1363358933017171,0.0629755367607041,0.1370204472979862,0.1569523842653732,0.0005398571395452,0.0475209195208629,0.1081594230042835,0.1664854124211077,0.0004283860912817,0.060163408795825,0.0914772823450203,0.0998740921508828,0.100516666848958,0.0592918818687111,0.2010927024836438,0.0430779704311609,0.0002867550143039,0.1332950326151534,0.0754907292549414,0.0577603154042851,0.2345647453922001,0.167196079910158,0.0691116929421512,0.0883662870697021,0.063862034720881,0.1208930287040322,0.0327129836578504
3,0.1332953874642233,0.0612685617698957,0.1385056649760371,0.1378404238085635,0.0006098020146059,0.0472947210975058,0.0544810596795648,0.1512441058411666,0.00058402580186,0.0569308703626424,0.0953502670865917,0.0812425945443053,0.1360545639027444,0.095260545938426,0.1335734975000863,0.0411436084918685,0.000388481072152,0.1325596923452294,0.0764118188054424,0.056820912553974,0.2041498210470515,0.1872648609627776,0.0888854789466755,0.0918824334103995,0.057106550323077,0.1005732415323946,0.0005306993414776
14,0.1302548816267296,0.0595615867790872,0.139990882654088,0.1187284633517538,0.0006797468896667,0.0470685226741487,0.000802696354846,0.1360027992612255,0.0007396655124383,0.0536983319294598,0.0992232518281632,0.0626110969377278,0.1715924609565308,0.1312292100081408,0.0660542925165288,0.039209246552576,0.0004902071300001,0.1318243520753053,0.0773329083559433,0.0558815097036628,0.0944705925146873,0.1975906956232254,0.0902600773145625,0.0884387212142715,0.0721272126480834,0.0802534543607569,0.0008242252843411
16,0.139209965449451,0.0604987053701241,0.129337674246892,0.134072042513264,0.0489463070022751,0.0466716690070396,0.0559745134805936,0.1255657179403484,0.0008605996244079,0.0581351907547752,0.0975852225393536,0.0647458910053779,0.1008304342586785,0.1293966297884486,0.0544542204822133,0.041789587452887,0.0005480974402872,0.122579681849985,0.0701391471560832,0.0678364193270538,0.2227071347724708,0.1972354676540308,0.080351972025898,0.0778978456970473,0.0779525297446062,0.0671192394065464,0.0007526013983292
19,0.0921036154091758,0.0556339451576818,0.1283676368082188,0.1223178866274128,0.0008444415762191,0.0465872092255159,0.1072580820789596,0.1411025462048827,0.0009261492577992,0.062510994663993,0.1118335738461266,0.0503540639403093,0.0820750531454808,0.1377810440644893,0.0606909061889773,0.0391527648637854,0.0006059877505743,0.1412092253565795,0.0605701602393794,0.0588284048215726,0.2104815319161702,0.2010516661727152,0.0821881608484692,0.0817654180360645,0.0754558390990856,0.0740573666921003,0.0008689907522731
22,0.1228688720041379,0.0615642021865198,0.1205611220455495,0.0635249750820589,0.0009033201238449,0.0010061870530807,0.0784691681643251,0.0645757345711563,0.0005564067440084,0.0585598496974963,0.1189408596234766,0.0614047573134869,0.0633590840185353,0.0077010565003466,0.0003867198453738,0.0363622486633305,0.0003982925586143,0.0692875761537054,0.0610648066268326,0.0655436326632585,0.1924247913182792,0.2103108838826446,0.0769454965197024,0.0696284733177227,0.0735054026949864,0.0793905676854911,0.0363666190889297
24,0.1247299485140811,0.0545096967764772,0.1262033291911215,0.1325179291546104,0.0025490365735055,0.0450426105351982,0.1007967321540489,0.1324705830943466,0.0004366102421377,0.0604437010185429,0.1106971713132567,0.0493050432014921,0.069487424387314,0.1215249280202301,,0.0408787875782222,0.0006065417450585,0.1135556509876429,0.0638650560206244,0.0638828268846664,0.1874257957495794,0.1901564331554244,0.0670366888978348,0.0880400724911162,0.072532487393922,0.0556990652861469,0.0355265561113768
27,0.1005690057497079,0.0619520532453585,0.1119791512495247,0.1528065686545046,0.0422891803359736,0.0474040249070352,0.0016009939257342,0.0632233576687559,0.0007471594603275,0.055691630309405,0.0998102640212632,0.0506884025687011,0.0678831804043216,0.1266757441321975,,0.0356147166408476,0.0003380274760948,0.1414374930232865,0.0738075639188058,0.061457697305287,0.2154973095482522,0.1862669361955276,0.0748381304729862,0.0610420523175516,0.0738621348853315,0.0520630522390947,0.0347897320928061
29,0.0818249649548068,0.0619735647964808,0.109308784619503,0.1293180445388416,0.0008244562865781,0.051700856245567,0.1400646318665964,0.1256813454295832,0.0010577086785173,0.0495639639004504,0.0981040596824583,0.0452472433509496,0.0614692475715995,0.1192347428256753,,0.0336977010019511,0.0004294753521899,0.1543945703764154,0.0715956365563785,0.0590325677259077,0.1713953734622542,0.1793750136863745,0.0671357776225635,0.0317822838290824,0.0724134373125632,0.0537506509768782,0.0378950303476822
32,0.0542535902214892,0.0614938271766235,0.1013810938087286,0.1690289320669785,0.0006569750777715,0.0460737881128147,0.0888647870090794,0.1379076437284961,0.0006427199928231,0.0549608725999526,0.0998555623553178,0.046464318153242,0.0714268159464026,0.1213646441485949,,0.0379105878117395,0.001851654176245,0.1462544110394314,0.0766566110980594,0.0577397900599264,0.1805373191961336,0.2245119469232391,0.0654369899054603,0.0004028868608573,0.0701497300798918,0.0678141946792852,0.0168891622459452
