Drug_Response,R0,Rmax,EC50,n,k,R_squared
Amiodarone_O2_mean,43.26118802275767,14.846860823635971,3.740434654969822e-05,9.992147821128215,0.01923939784817542,0.1092792110097145
Amiodarone_Amp_std,0.0713616931485301,0.10383924344250271,6.593484885255204e-16,0.9131378790063209,0.040510709980052045,0.019118301776971047
Bortezomib (A09)_O2_mean,30.001998899313623,6.8441058553181096,4.047576027640026e-07,5.405207402840862,0.035381554903008754,0.09859895059642132
Bortezomib (A09)_Amp_std,0.0044684029290983215,0.13801416192711677,2.0917394957178066e-41,0.4922387271466571,0.00467245963433399,0.06290646640943387
Chlorpromazine_O2_mean,42.54648580989901,21.779734118494343,0.0006727838426665647,9.833602845024128,0.02803640046603691,0.04415997969475527
Chlorpromazine_Amp_std,0.028012960687504754,0.11816600458280785,6.012624570308483e-38,0.6935101596633654,0.0059895519882511225,0.03870483367308719
Cobimetinib (E03)_O2_mean,36.53024855893909,8.014813979347377,4.308896502494867e-09,2.9556596921994585,49.24764938902824,0.050758872888478135
Cobimetinib (E03)_Amp_std,0.05264766648616013,0.08545458281378984,1.8225624179080653,9.999999999999961,0.0008477591278310922,0.07112006920997782
Dactinomycin_O2_mean,76.28366889986944,11.14277576032986,1.1470622990401422e-09,1.4955874676314076,0.0230564601522696,0.6762321878436105
Dactinomycin_Amp_std,0.05503484690128226,0.15246012540477755,6.296591336749611,9.999999999906606,0.0012565705387006755,0.5691142631474957
Daunorubicin (F03)_O2_mean,59.160744786334654,6.557227889680735,0.28321588090496513,9.999999999887796,0.015698308206772,0.3020366131591392
Daunorubicin (F03)_Amp_std,0.16441178041608762,0.09425301907047925,2.127872496215218e-25,0.3609252917119803,0.14111943369124796,0.03427417174425351
Doxorubicin (G03)_O2_mean,38.1027728718379,8.675510071888446,1.1529114073263025,9.999034125891342,41.91205019533596,0.05184060247537903
Doxorubicin (G03)_Amp_std,3.7131313760323876e-12,0.16737999823311941,2.519535127652591,4.304028675082567,0.0008270804140480415,0.43858611033825723
Epirubicin (B04)_O2_mean,59.8714616484501,12.720207814476911,1.1517731473287735e-24,1.2523077863492662,0.02641572190401945,0.24837727651102337
Epirubicin (B04)_Amp_std,0.11027926221086103,0.057328079899998274,1.004781139131833,9.980138036336342,0.26009572312693086,0.01653264635383178
Erlotinib (E09)_O2_mean,50.67370863437789,8.010929613217023,1.6856312060327763e-07,2.9664589272032416,0.02381291317707298,0.2761303860133898
Erlotinib (E09)_Amp_std,0.07696453952550593,0.04014756743310593,10.291908426029735,0.1000019113566408,0.021928556568045366,0.011068214068749471
Etomoxir_O2_mean,40.86319182124089,22.379792162562147,2.354911426343824e-12,1.5525102723571766,0.025253448212889256,0.05169502648200586
Etomoxir_Amp_std,0.04936933982953582,0.0889191693845901,109.90975934439577,4.17175498948454,0.0036211483820826453,0.08294855498778564
Gemcitibine_O2_mean,18.04373584477767,48.620979743391324,0.6574877232568991,4.395790453188711,4.969268880208733e-40,0.27662850823109275
Gemcitibine_Amp_std,0.04307998316250999,0.1209793446794658,0.009889997430478822,8.826576124244415,0.009204012904414461,0.05939420098316972
Ibrutinib (C10)_O2_mean,36.45382067992452,8.868145075491782,3.533216661224344e-10,1.6980326752077786,0.03407440289040678,0.14972794942644962
Ibrutinib (C10)_Amp_std,0.12484875602677634,0.09651845047180335,2.4903663712632055e-16,0.6448817883570448,0.3753568999671367,0.003501384435611765
Ibuprofen_O2_mean,38.696251342271914,72.70368732705367,0.00023063571021026942,0.33344357898223426,0.007160482762050416,0.10663357986754696
Ibuprofen_Amp_std,0.0027215542245317584,0.008684340378352156,0.0016308847550200358,7.767037762291092,0.29505309413179154,0.02783895548486237
Isoproterenol_O2_mean,13.3527978725175,0.004489612197643309,22.124234399171087,9.999720900671893,0.050907416885073595,0.024816903431736814
Isoproterenol_Amp_std,0.10545930989953031,0.11571832693666223,8.092683143131236e-17,0.8076529016960526,0.41798706215571907,0.0009952577785005134
Mexiletine_O2_mean,36.612419682308136,18.04277714837392,1.9657928776215803e-20,2.17295901860552,0.032236288824250454,0.04990686475525685
Mexiletine_Amp_std,8.024768418497763e-13,0.1390026826023701,0.07869489069294436,2.104128047818163,0.0032459261185459522,0.15548606745197435
Nifedipine_O2_mean,30.8350419486582,19.718854649803795,3.563448902918865e-23,1.05166051416465,0.024954348058510992,0.021399442405158564
Nifedipine_Amp_std,0.07235030280094903,0.10021105161360476,2.2572526298919194e-15,1.029413830491175,0.04374946466882199,0.015866127094367632
Panobinostat (G07)_O2_mean,14.564117490689812,205.21725177845093,10.01151335806927,9.999978063279562,1.2908973803023632e-42,0.13286706944101723
Panobinostat (G07)_Amp_std,0.14119214424628374,0.07822789004038305,0.19800058494537032,2.0443611492521043,0.3285986902060646,0.0257140371908835
Plicamycin_O2_mean,253.30513741800397,12.649930837652708,5.505374434887632e-36,0.8837638532099813,0.0022271897261372737,0.3256643514426376
Plicamycin_Amp_std,0.07056625285879833,0.10960998051208727,10.565408732032102,0.10000505821848521,0.026768814954778234,0.005992193628664988
Rosiglitazone_O2_mean,40.83548807165363,56.3396459306167,0.14754207237256653,9.999999999999998,8.22346817552983e-49,0.2309635315657158
Rosiglitazone_Amp_std,0.005347702415704732,0.002431358394875191,0.0019524903229300088,9.999952324616553,3.455225894015556e-37,0.10495700149616571
Sotalol_O2_mean,36.28488893388547,24.15899838342259,7.578620188237737e-15,2.2055858766482705,36.63830673418561,0.016714896916677713
Sotalol_Amp_std,0.0916375080471351,0.11862212910183632,6.9542865387992e-17,0.8676122735372804,0.01895517825782337,0.009728457596794415
Sunitinib (H08)_O2_mean,99.93649259774227,14.228486488810054,4.962655846842952e-36,0.9409606453607481,0.0038839749555185208,0.1398935892473948
Sunitinib (H08)_Amp_std,0.11871992692467127,0.02826269643522242,2.997620168147199,9.999999999999998,1.3863255526825186e-23,0.5182444607983112
Troglitazone_O2_mean,60.2769753303917,48.78584030119518,7.750194167531877e-08,9.981724563069509,0.04415605127513633,0.023360224386084982
Troglitazone_Amp_std,0.001744775533571077,0.0009693233374211324,0.0008580137066699484,4.405577970377813,0.13453020642547472,0.0026752344840097475
Vandetanib (G11)_O2_mean,53.230580255666794,5.147719340646165,4.9740832892832335e-05,8.476130629578773,0.0311340608045852,0.32105304295555015
Vandetanib (G11)_Amp_std,0.16302911468621745,0.08730401583280621,1.7198330066528156,7.618662097337774,1.897556030240675e-35,0.31849821839326764
Vincristine_O2_mean,28.744742492677183,27.771466913208766,166.51272214280604,1.4456176201232336,6.245436019351828,-6.306311028936307e-10
Vincristine_Amp_std,0.0628053286914898,0.1276728814792699,17.77037499891529,0.10000007477484552,0.016297299571101428,0.008329724845535735
Vioxx_O2_mean,31.60125401885205,51.00927376259478,7.043747648834554e-20,2.282324754417258,0.019110203543546745,0.0681359199126167
Vioxx_Amp_std,0.0019633280279513737,0.004191617037270277,0.018822633267160514,9.940594081508788,3.438581822635807e-43,0.1421040881450636
Vorinostat (B06)_O2_mean,24.79613334811329,3462.8622659723014,9.254952593314531,9.99999960565986,0.5772778050688018,0.06518980843984978
Vorinostat (B06)_Amp_std,0.06777599332267778,0.0776692180169982,1.5084857467947747e-18,0.44115893578722243,9.842711127586513,0.000728384219307654
