Drug,Arrhythmia Risk High,Arrhythmia Risk Low,Cardiac Risk High,Cardiac Risk Low,O0,Emax,Kappa,Tau,n,m,Cmax,R2
Sotalol,TRUE,FALSE,TRUE,FALSE,25.00,46.25,0.19,71.67,0.50,0.58,3.20,0.24
Sunitinib (H08),TRUE,FALSE,TRUE,FALSE,18.11,115.00,0.12,81.83,0.50,1.33,0.15,0.48
Vandetanib (G11),TRUE,FALSE,TRUE,FALSE,16.05,35.72,1.09,52.45,0.50,1.41,1.20,0.40
Epirubicin (B04),TRUE,FALSE,TRUE,FALSE,16.53,100.65,0.18,77.65,0.50,0.72,0.45,0.75
Bortezomib (A09),TRUE,FALSE,TRUE,FALSE,10.47,17.62,37.81,53.62,0.57,5.07,0.29,0.36
,,,,,,,,,,,,
Cobimetinib (E03),FALSE,FALSE,TRUE,FALSE,21.66,51.83,0.51,69.80,0.50,1.04,0.53,0.61
Erlotinib (E09),FALSE,FALSE,TRUE,FALSE,20.44,73.30,0.15,76.10,0.50,1.11,0.65,0.52
Daunorubicin (F03),FALSE,FALSE,TRUE,FALSE,22.53,47.00,0.03,92.59,1.57,2.18,0.24,0.51
Doxorubicin (G03),FALSE,FALSE,TRUE,FALSE,20.68,108.77,0.08,86.44,0.50,1.12,0.13,0.75
,,,,,,,,,,,,
Amiodarone,FALSE,FALSE,FALSE,FALSE,22.53,49.60,0.23,72.60,1.39,1.23,2.80,0.73
Isoproterenol,FALSE,FALSE,FALSE,FALSE,10.26,12.28,1.42,34.92,0.50,6.00,0.01,0.17
Dactinomycin,FALSE,FALSE,FALSE,FALSE,22.74,49.32,0.90,57.18,0.50,1.71,0.03,0.93
Etomoxir,FALSE,FALSE,FALSE,FALSE,25.00,17.69,1.29,40.42,0.50,4.65,0.10,0.19
Plicamycin,FALSE,FALSE,FALSE,FALSE,13.80,68.62,0.19,85.20,0.50,1.39,0.15,0.82
,,,,,,,,,,,,
Panobinostat (G07),TRUE,FALSE,FALSE,FALSE,17.73,14.31,5.78,66.01,0.50,6.00,0.06,0.21
Ibrutinib (C10),TRUE,FALSE,FALSE,FALSE,25.00,28.08,0.00,81.33,3.60,2.42,0.53,0.38
Mexiletine,TRUE,FALSE,FALSE,FALSE,25.00,16.65,0.02,92.55,6.00,1.91,3.60,0.23
,,,,,,,,,,,,
Chlorpromazine,FALSE,TRUE,FALSE,FALSE,23.50,38.60,0.00,88.85,4.57,1.16,2.50,0.69
Nifedipine,FALSE,TRUE,FALSE,FALSE,22.52,36.69,0.00,92.79,4.98,0.65,0.39,0.60
,,,,,,,,,,,,
Gemcitibine,FALSE,TRUE,FALSE,TRUE,24.61,23.49,6.64,50.00,6.00,2.42,20.00,0.38
,,,,,,,,,,,,
Vincristine,FALSE,FALSE,FALSE,TRUE,19.16,9.87,1.06,48.27,0.50,5.47,0.06,0.07
Vorinostat (B06),FALSE,FALSE,FALSE,TRUE,16.61,115.00,0.19,76.57,0.50,1.13,1.50,0.57
