Time,8.0,8.0.3,8.0.2,8.0.1,4.0,4.0.2,4.0.1,2.0.1,2.0.3,2.0.2,2.0,1.0,1.0.2,1.0.1,1.0.3,0.5.3,0.5,0.5.2,0.5.1,0.25.3,0.25.1,0.25.2,0.25,0.125.3,0.125.2,0.125.1,0.125,0.062.2,0.062,0.062.1
45,58.02794,54.52222,51.3766,36.34247,50.39894,36.11351,27.47397,35.09452,28.69595,3.571622,5.422222,42.49437,30.3,29.5137,11.11081,35.46326,35.84143,100.4427,23.63803,51.36533,25.40141,26.8507,20.19865,41.6137,33.85972,27.06164,66.75694,29.90541,33.45342,27.06081
48,58.21096,55.12297,52.12222,37.97945,52.27737,36.09589,29.55972,35.93194,33.25342,3.590411,7.731579,43.22958,31.46216,30.22329,12.26164,36.09041,37.68571,24.17703,25.01111,51.30139,24.89324,25.85753,25.94595,44.60274,33.36,27.33378,8.632394,30.77671,37.35672,26.028
51,58.01096,56.516,52.80411,37.58194,53.33791,36.25278,31.05467,36.5863,35.40556,4.111268,9.552632,44.3027,32.1411,30.21644,13.30946,55.76176,34.91644,24.48356,24.52603,51.98451,98.68194,25.564,29.63889,46.34444,33.18904,27.66027,8.521622,30.65352,37.67536,25.1527
53,59.77297,57.64459,53.06892,38.06081,53.88893,36.30714,31.60135,36.84521,32.55135,3.797297,71.33425,44.44028,31.98784,30.45135,14.68082,53.31507,34.61449,99.3,23.34861,52.24054,98.63919,25.44054,32.6,48.38667,32.53714,28.43611,8.028378,30.29028,38.32319,25.51757
56,58.21216,58.17042,53.82267,38.27162,53.11163,36.74932,32.98108,37.39595,35.97671,3.957534,12.31233,44.73288,32.91918,30.7875,16.44583,52.92275,34.47681,23.50405,23.71714,50.93514,22.64306,24.00135,36.57733,48.26111,31.58082,28.77703,7.756757,30.96164,35.36765,23.81644
58,58.544,58.03562,54.07606,38.20405,52.5199,37.63194,32.48472,37.54571,35.68356,4.293151,12.28243,45.02055,32.94444,30.70405,17.13611,52.53043,33.68235,23.864,21.3589,51.31918,22.61944,23.74366,38.125,48.61233,31.96533,28.6125,7.209859,30.36216,30.79559,23.84583
61,58.40694,57.775,54.62778,37.56389,51.59926,37.97671,33.80946,38.0,34.66944,4.138667,12.85,46.04324,32.60986,30.59722,17.25694,48.98235,32.14559,23.06216,20.86857,52.23014,22.26027,23.46622,39.31351,49.44459,30.65571,28.20417,6.9375,30.58472,33.45072,22.95753
64,59.52192,57.69444,55.04054,36.80541,50.92511,37.575,33.4,38.15068,34.20139,4.019178,13.03014,45.73099,32.19286,30.52297,16.46351,46.14203,30.38514,22.33836,20.54933,50.96351,20.69733,22.47917,39.9814,49.2,30.08056,28.21644,6.330137,30.66301,31.86716,17.92432
66,59.28514,57.87534,55.21806,36.78133,50.47568,37.47361,32.89595,38.31622,34.63514,4.138356,13.47123,45.79028,32.15753,30.3027,16.38873,37.0,29.97397,21.9027,19.86622,50.6375,20.95405,20.86806,40.6493,48.2973,28.92254,27.60959,5.827397,30.85205,42.04559,17.85541
69,59.60556,58.01408,55.03611,36.69867,49.80153,37.0625,32.24595,38.03014,33.06761,3.850704,15.17568,45.93425,114.6606,29.70946,15.4,29.19595,28.375,21.26933,18.42329,49.39444,20.27397,20.71351,38.97571,47.84225,28.2411,27.22535,5.526667,30.97703,38.65441,17.55
72,60.37027,58.14384,55.73514,37.57534,49.12738,37.35833,32.7863,38.68767,34.04444,3.586486,15.48082,45.62703,114.3478,29.10959,14.96712,110.8056,28.88919,21.43662,18.30139,49.18219,20.15135,20.08356,37.50278,47.59452,28.15833,26.79726,5.430137,31.55405,40.34493,16.09865
74,59.82192,57.42703,54.69452,38.3274,48.67794,37.00139,31.66849,38.22027,36.83562,3.40411,14.40694,45.78194,30.71507,29.25694,14.01644,29.16056,28.11781,19.87867,17.72917,49.1274,19.06301,18.38919,35.99324,46.48649,27.09189,105.3521,4.864384,31.39041,33.53676,16.34861
77,60.04085,58.675,54.83108,37.7027,48.0038,36.87568,31.18333,38.15753,34.60685,3.147222,13.80274,44.85,29.96918,28.01014,13.47558,29.11233,26.69577,19.36111,16.29452,48.67714,17.52838,17.51918,34.80556,46.13699,26.02113,25.31389,4.923288,31.48267,35.52353,16.5863
80,59.51528,59.29859,54.83836,37.54167,47.32965,36.57671,31.37297,38.44507,32.85479,3.415068,13.36667,45.14324,29.22329,28.43265,12.93472,25.98649,25.56622,18.84247,15.69437,48.59863,17.22877,16.65676,33.79583,44.92817,24.24795,24.51892,4.018868,115.6031,33.72899,15.78714
82,61.05139,58.24932,54.9,38.22329,46.84257,36.53378,31.62714,38.31644,32.16761,3.386486,11.78919,45.00946,28.21644,28.37786,12.18919,25.19333,24.0589,17.825,15.73056,47.39178,17.05068,15.48514,32.61667,45.65,23.44521,23.44932,58.99074,32.98649,34.4402,16.84865
85,60.16575,58.77838,55.05634,38.2875,45.92827,35.62237,30.81096,38.15833,31.15915,2.927778,10.95541,45.37083,27.83514,28.32308,11.46986,24.07778,22.90822,16.41622,80.34225,47.00563,15.93699,79.34324,31.26986,44.17,21.93014,23.70563,5.118919,32.50278,35.15142,15.93151
88,60.43514,58.23056,55.05946,38.39589,44.98827,36.04932,29.61507,37.75616,30.38649,2.945205,9.532432,44.61507,27.54595,27.47904,10.51216,23.69726,22.03014,15.97123,14.15405,46.58472,83.58767,12.85479,29.61972,43.94167,20.75616,22.76486,5.505556,32.74658,35.86264,15.75067
90,61.38732,58.15342,55.47361,38.97534,44.36051,36.34085,29.66164,37.40685,29.83784,2.654054,8.641892,44.55972,26.6,26.635,9.685135,22.29041,21.875,14.90694,13.2473,45.71111,15.51507,12.19315,29.00833,43.72361,19.88219,22.04459,6.154795,34.05833,36.57386,15.25405
93,61.17746,58.53611,55.56301,39.25946,43.41519,35.65306,29.11389,37.32432,27.28667,55.68784,7.49589,44.12703,26.66667,25.87361,9.097297,18.96351,20.91096,14.27027,12.84324,45.82466,15.16351,11.93056,26.32254,42.57162,89.73521,21.02568,6.046575,34.75946,37.28507,14.61918
96,60.84595,58.23425,55.18873,39.11972,42.46174,34.96528,28.3169,37.10411,26.40541,2.553425,6.678378,44.4,26.58219,25.5589,8.481081,18.89733,20.06528,13.06575,,,15.15753,10.95616,23.99014,42.49865,18.81944,20.94521,6.668493,35.216,31.85072,14.98028
